name,text,pseudo_gloss
train/05May_2011_Thursday_tagesschau-34,im westen und südwesten ist es teilweise wolkiger vereinzelt gibt es schauer oder gewitter,Westen Südwesten es teilweise wolkig vereinzelt geben es Schauer Gewitter
train/05May_2011_Thursday_tagesschau-35,auch am montag scheint meist die sonne am ehesten kann im äußersten westen vereinzelt mit schauern gerechnet werden,auch Montag scheinen meist Sonne ehe äußerer Westen vereinzelt Schauer rechnen
train/15December_2010_Wednesday_tagesschau-38,starke winde sorgen zudem für schneeverwehungen es bestehen entsprechende unwetterwarnungen des deutschen wetterdienstes,stark Winde sorgen zudem Schneeverwehung es bestehen entsprechend unwetterwarnungen deutsch wetterdienstes
train/15December_2010_Wednesday_tagesschau-39,heute nacht schneit es zunächst vor allem im süden aber gegen morgen ziehen von nordwesten neuer schnee und auch regen heran und sorgen für gefährliche glätte,heute Nacht schneien es zunächst alle Süden morgen ziehen Nordwesten neu Schnee auch Regen heran sorgen gefährlich glätte
train/15December_2010_Wednesday_tagesschau-41,im nordwesten und westen gibt es vorübergehend auch gefrierenden regen,Nordwesten Westen geben es vorübergehend auch gefrierend Regen
train/15December_2010_Wednesday_tagesschau-42,im südosten bleibt es bis zum abend teilweise freundlich und meist trocken,Südosten bleiben es Abend teilweise freundlich meist trocken
train/15December_2010_Wednesday_tagesschau-44,heute nacht besonders im osten und süden strenger frost an der nordsee plus ein grad,heute Nacht besonders Osten Süden streng Frost Nordsee Grad
train/15December_2010_Wednesday_tagesschau-45,dort morgen plus vier am alpenrand bis minus sieben grad,dort morgen vier alpenrand minus sieben grad
train/15December_2010_Wednesday_tagesschau-46,am freitag im osten und am alpenrand noch schnee sonst zum teil freundlich und meist trocken,Freitag Osten alpenrand noch Schnee sonst Teil freundlich meist trocken
train/15December_2010_Wednesday_tagesschau-47,auch am samstag teilweise freundlich,auch Samstag teilweise freundlich
train/15December_2010_Wednesday_tagesschau-48,gegen abend zieht von westen wieder schnee heran der sich am sonntag weiter ausbreitet,abend ziehen Westen wieder Schnee heran der sich Sonntag weiter ausbreiten
train/10March_2011_Thursday_heute-49,guten abend liebe zuschauer,gut abend lieb Zuschauer
train/10March_2011_Thursday_heute-50,das stürmische wetter ist morgen wieder vorbei und dann kann am wochenende der frühling langsam so ein zartes grün in diese braungrauen landschaften bringen,stürmisch Wetter morgen wieder vorbei dann Wochenende Frühling langsam so zart grün braungrau landschaften bringen
train/10March_2011_Thursday_heute-52,heute nacht wird es allerdings noch regnen und zwar in der mitte und im norden deutschlands,heute nacht es allerdings noch regnen zwar Mitte Norden Deutschland
train/10March_2011_Thursday_heute-53,und morgen früh gibt es sogar schneeregen an der nordseeküste ist es kalt genug so wenig über null grad sind es,morgen früh geben es sogar schneeregen Nordseeküste es kalt genug so wenig über null grad es
train/10March_2011_Thursday_heute-54,und auch tagsüber haben wir diese unterschiede in der temperatur denn im süden wird es wieder mild mit zehn bis vierzehn grad während es an den küsten deutlich kühler bleibt,auch tagsüber haben wir unterschiede temperatur Süden es wieder mild zehn vierzehn Grad es Küste deutlich kühl bleiben
train/10March_2011_Thursday_heute-55,aber dort scheint auch mal wieder die sonne wenn es auch am vormittag noch ein paar regenschauer gibt und es ist vor allen dingen noch windig,dort scheinen auch mal wieder Sonne es auch Vormittag noch Regenschauer geben es dingen noch windig
train/10March_2011_Thursday_heute-56,stürmische böen gibt es aus westen bis zum nachmittag dann flaut der wind ab,stürmisch böen geben es Westen Nachmittag dann flauen Wind
train/10March_2011_Thursday_heute-57,in der mitte deutschlands da ist es trüb anfangs regnet es noch und im süden haben wir auch sonniges wetter und der wind ist auch nur schwach,Mitte Deutschland da es trüb anfangs regnen es noch Süden haben wir auch sonnig Wetter Wind auch nur schwach
train/10March_2011_Thursday_heute-59,am sonntag dann auch an den küsten langsam wärmer aber erste regenschauer gibt es wohl im nordwesten,Sonntag dann auch Küste langsam warm erster Regenschauer geben es wohl Nordwesten
train/10March_2011_Thursday_heute-60,ihnen einen schönen abend und machen sie es gut,ihnen schön abend machen sie es gut
train/14August_2009_Friday_tagesschau-61,und nun die wettervorhersage für morgen samstag den fünfzehnten august,nun Wettervorhersage morgen Samstag fünfzehnter August
train/14August_2009_Friday_tagesschau-64,der norden wird allerdings von den wolken eines tiefs bei schottland gestreift,Norden allerdings Wolke tiefs Schottland streifen
train/14August_2009_Friday_tagesschau-65,und in küstennähe halten sich heute noch wolken die vor allem richtung dänemark regen bringen,Küstennähe halten sich heute noch Wolke alle Richtung Dänemark Regen bringen
train/14August_2009_Friday_tagesschau-66,hier und da bilden sich einzelne nebelfelder,hier da bilden sich einzeln nebelfelder
train/14August_2009_Friday_tagesschau-67,im äußersten norden kann es morgen noch etwas regnen,äußerer Norden es morgen noch etwas regnen
train/14August_2009_Friday_tagesschau-68,über den alpen sind einzelne schauer oder gewitter möglich,alpen einzeln Schauer Gewitter möglich
train/14August_2009_Friday_tagesschau-69,sonst scheint verbreitet die sonne,sonst scheinen verbreiten Sonne
train/14August_2009_Friday_tagesschau-76,auch montag und dienstag noch leicht wechselhaft und nicht mehr ganz so warm,auch montag dienstag noch leicht wechselhaft mehr ganz so warm
train/15June_2010_Tuesday_tagesschau-77,und nun die wettervorhersage für morgen mittwoch den sechzehnten juni,nun Wettervorhersage morgen Mittwoch sechzehnter Juni
train/15June_2010_Tuesday_tagesschau-78,hoher luftdruck zwischen azoren und baltikum bestimmt weiterhin im norden und in der mitte deutschlands das wetter,hoch Luftdruck Azoren Baltikum bestimmen weiterhin Norden Mitte Deutschland Wetter
train/15June_2010_Tuesday_tagesschau-79,das tief das vom mittelmeer zu den alten zieht sorgt im süden für regenfälle,tief der Mittelmeer alt ziehen sorgen Süden regenfälle
train/15June_2010_Tuesday_tagesschau-80,die nacht verläuft meist klar im süden liegen die wolken dichter beieinander stellenweise regnet es,Nacht verlaufen meist klar Süden liegen Wolke dicht beieinander stellenweise regnen es
train/15June_2010_Tuesday_tagesschau-81,am tag muss vor allem zwischen schwarzwald im bayrischem wald mit regen gerechnet werden der kräftig sein kann,Tag alle Schwarzwald bayrisch Wald Regen rechnen der kräftig
train/15June_2010_Tuesday_tagesschau-82,in der nordhälfte neben lockeren wolken viel sonne,Nordhälfte locker Wolke Sonne
train/15June_2010_Tuesday_tagesschau-83,im nordosten weht der wind schwach bis mäßig richtung südwesten teilweise frischer bis starker wind mit einzelnen stürmischen böen in den hochlagen auch sturmböen,Nordosten wehen Wind schwach mäßig richtung Südwesten teilweise frisch stark Wind einzeln stürmisch böen hochlagen auch sturmböen
train/15June_2010_Tuesday_tagesschau-84,heute nacht fünfzehn grad im breisgau und bis fünf grad im norden,heute Nacht fünfzehn Grad Breisgau fünf Grad Norden
train/15June_2010_Tuesday_tagesschau-85,am tag sechzehn grad an der ostsee und dort wo es länger regnet sonst bis dreiundzwanzig grad,Tag sechzehn Grad Ostsee dort es lang regnen sonst dreiundzwanzig Grad
train/15June_2010_Tuesday_tagesschau-86,am donnerstag regnet es auch in der mitte im süden außerdem teilweise kräftige gewitter,Donnerstag regnen es auch Mitte Süden außerdem teilweise kräftig Gewitter
train/15June_2010_Tuesday_tagesschau-87,im norden zeigt sich gebietsweise die sonne,Norden zeigen sich gebietsweise Sonne
train/15June_2010_Tuesday_tagesschau-88,auch am freitag ist es im norden zum teil freundlich sonst mehr wolken als sonne teilweise gewittrige regenfälle,auch Freitag es Norden Teil freundlich sonst Wolke Sonne teilweise gewittrig regenfälle
train/15June_2010_Tuesday_tagesschau-89,am samstag insgesamt wechselhaftes wetter,Samstag insgesamt wechselhaft Wetter
train/26January_2010_Tuesday_heute-90,liebe zuschauer guten abend,lieb Zuschauer gut abend
train/26January_2010_Tuesday_heute-91,im norden gab es heute viel sonne aber es war auch ziemlich eisig,Norden geben es heute Sonne es auch ziemlich eisig
train/26January_2010_Tuesday_heute-92,auf diesem bild von berlin meint man die kälte förmlich zu spüren,Bild Berlin meinen man kälte förmlich spüren
train/26January_2010_Tuesday_heute-93,morgen kommt dann kräftig bewegung ins wetter mit einem tief das uns kräftige schneefälle bringen wird und stürmischem wind,morgen kommen dann kräftig Bewegung Wetter tief uns kräftig Schneefälle bringen stürmisch Wind
train/26January_2010_Tuesday_heute-94,und das wird uns bis donnerstag beschäftigen,der uns donnerstag beschäftigen
train/26January_2010_Tuesday_heute-95,heute nacht wird es aber erst mal kräftig kalt also wer nicht raus muss sollte zu hause bleiben,heute Nacht es aber erst mal kräftig kalt also wer raus Haus bleiben
train/26January_2010_Tuesday_heute-96,es klart verbreitet auf minus fünfundzwanzig grad können im osten erreicht werden im westen zum teil auch bis minus einundzwanzig grad,es klaren verbreiten minus fünfundzwanzig Grad Osten erreichen Westen Teil auch minus einundzwanzig Grad
train/26January_2010_Tuesday_heute-99,erste schneeflocken fallen morgen vormittag bereits an der ostsee,erster schneeflocken fallen morgen vormittag bereits Ostsee
train/26January_2010_Tuesday_heute-100,nachmittags breiten sich die schneefälle weiter richtung nördliche mittelgebirge aus,nachmittags breiten sich schneefälle weiter richtung nördlich Mittelgebirge
train/26January_2010_Tuesday_heute-101,im nordwesten kann eisregen oder regen dabei sein mit gefährlicher straßenglätte,Nordwesten eisregen Regen dabei gefährlich Straßenglätte
train/26January_2010_Tuesday_heute-104,im süden wie gesagt bleibt es trocken und die temperaturen die liegen morgen so zwischen minus neun und an der küste auch durchaus bis plus vier grad,Süden sagen bleiben es trocken temperaturen der liegen morgen so minus neun Küste auch durchaus plus vier grad
train/07May_2011_Saturday_tagesschau-108,und nun die wettervorhersage für morgen sonntag den achten mai,nun Wettervorhersage morgen Sonntag achter Mai
train/07May_2011_Saturday_tagesschau-109,auch morgen bestimmt das hoch über skandinavien das wetter in weiten teilen deutschlands,auch morgen bestimmen der hoch Skandinavien Wetter weit Teil Deutschlands
train/07May_2011_Saturday_tagesschau-110,tiefs über den balkan und dem atlantik lenken wolken in ein paar regionen für schauer reicht es aber nur vereinzelt,tief Balkan Atlantik lenken Wolken region Schauer reichen es aber nur vereinzelt
train/07May_2011_Saturday_tagesschau-111,heute nacht ist es klar über die westhälfte ziehen hier und da dünne schleierwolken,heute Nacht es klar Westhälfte ziehen hier da dünn Schleierwolke
train/07May_2011_Saturday_tagesschau-112,am tag morgen dann wieder viel sonne ganz im westen und südwesten ist es zum teil wolkig schauer oder gewitter gibt es aber nur vereinzelt,Tag morgen dann wieder Sonne ganz Westen Südwesten es Teil wolkig Schauer Gewitter geben es aber nur vereinzelt
train/07May_2011_Saturday_tagesschau-114,der wind weht schwach bis mäßig im norden frisch mit starken böen an den küsten,Wind wehen schwach mäßig Norden frisch stark böen Küste
train/07May_2011_Saturday_tagesschau-115,heute nacht fünfzehn grad am niederrhein und bis zu ein grad im osten,heute Nacht fünfzehn Grad Niederrhein zu Grad Osten
train/07May_2011_Saturday_tagesschau-116,am tag einundzwanzig bis achtundzwanzig grad an der ostsee bleibt es bei seewind kühler,Tag einundzwanzig achtundzwanzig grad Ostsee bleiben es Seewind kühler
train/07May_2011_Saturday_tagesschau-117,auch am montag meist sonne hier und da wolken im äußersten westen und nordwesten sind schauer und gewitter möglich,auch Montag meist Sonne hier da Wolken äußerer Westen Nordwesten Schauer Gewitter möglich
train/07May_2011_Saturday_tagesschau-118,am dienstag sonne im westen ist es ab und an wolkig mit einzelnen schauern und gewittern,Dienstag Sonne Westen es ab an Wolkig einzeln Schauer Gewittern
train/07May_2011_Saturday_tagesschau-119,am mittwoch teils sonne teils wolken schauer und gewitter werden etwas häufiger,Mittwoch teils Sonne teils Wolke Schauer Gewitter etwas häufig
train/12February_2010_Friday_tagesschau-120,und nun die wettervorhersage für morgen samstag den dreizehnten februar,nun Wettervorhersage morgen Samstag dreizehnter Februar
train/12February_2010_Friday_tagesschau-121,feuchte kalte luft strömt zu uns nach deutschland,feucht kalt luft strömen uns Deutschland
train/12February_2010_Friday_tagesschau-122,dabei lassen die schneefälle allmählich nach am sonntag schneit es kaum noch,dabei lassen schneefälle allmählich Sonntag schneien es kaum noch
train/12February_2010_Friday_tagesschau-123,in der nacht schneit es stellenweise leicht vor allem an der ostsee auch mäßig,Nacht schneien es stellenweise leicht alle Ostsee auch mäßig
train/12February_2010_Friday_tagesschau-124,vorsicht wegen straßenglätte,Vorsicht Straßenglätte
train/12February_2010_Friday_tagesschau-128,am tag an der see noch frischer wind,Tag See noch frisch Wind
train/12February_2010_Friday_tagesschau-129,heute nacht minus zwei bis minus dreizehn grad am tag im sauerland minus fünf grad an rhein und spree null grad,heute Nacht zwei minus dreizehn Grad Tag Sauerland fünf Grad rhein Spree null Grad
train/12February_2010_Friday_tagesschau-130,die aussichten am sonntag nur örtlich etwas schnee am montag ruhiges winterwetter mancherorts scheint die sonne meist ist es aber stark bewölkt oder neblig trüb,Aussicht Sonntag nur örtlich Schnee Montag ruhig Winterwetter mancherorts scheinen Sonne meist es aber stark bewölkt neblig trüb
train/12February_2010_Friday_tagesschau-131,am dienstag im nordwesten viele wolken die gebietsweise schnee bringen sonst ist es teilweise freundlich und trocken,Dienstag Nordwesten Wolke Gebietsweise Schnee bringen sonst es teilweise freundlich trocken
train/01November_2010_Monday_tagesschau-132,und nun die wettervorhersage für morgen dienstag den zweiten november,nun Wettervorhersage morgen Dienstag zweiter November
train/01November_2010_Monday_tagesschau-134,im nordwesten deutschlands machen sich allerdings tiefausläufer bemerkbar die in den nächsten tagen besonders im norden für regen und wind sorgen werden,Nordwesten Deutschland machen sich allerdings tiefausläufer bemerkbar der nächster Tag besonders Norden Regen Wind sorgen
train/01November_2010_Monday_tagesschau-135,in der nordwesthälfte ist es heute nacht meist bedeckt sonst zeigen sich teilweise die sterne,Nordwesthälfte es heute Nacht meist bedecken sonst zeigen sich teilweise Sterne
train/01November_2010_Monday_tagesschau-138,abseits des nebels wird es freundlich mit sonne und wolken,nebels es freundlich Sonne Wolken
train/01November_2010_Monday_tagesschau-139,an den alpen ist es stark bewölkt hier und da fallen ein paar tropfen,alpen es stark bewölkt hier da fallen tropfe
train/01November_2010_Monday_tagesschau-141,schwacher im norden mäßiger und an den küsten frischer wind mit starken bis stürmischen böen,schwach Norden mäßig Küste frisch Wind stark stürmisch böen
train/01November_2010_Monday_tagesschau-142,heute nacht im norden bis neun am alpenrand kühle zwei grad,heute Nacht Norden neun alpenrand kühl zwei Grad
train/01November_2010_Monday_tagesschau-143,morgen temperaturen von neun bis dreizehn am niederrhein bis vierzehn grad,morgen temperaturen neun dreizehn Niederrhein vierzehn Grad
train/01November_2010_Monday_tagesschau-144,im norden ist es in den kommenden tagen meist stark bewölkt mit regen und windig zum teil auch stürmisch,Norden es kommend Tag meist stark bewölkt Regen Windig Teil auch stürmisch
train/01November_2010_Monday_tagesschau-145,richtung süden deutlich freundlicher und meist trocken,Richtung Süden deutlich freundlich meist trocken
train/01November_2010_Monday_tagesschau-146,dabei bleibt es sehr mild,dabei bleiben es sehr mild
train/23February_2011_Wednesday_tagesschau-147,und nun die wettervorhersage für morgen donnerstag den vierundzwanzigsten februar,nun Wettervorhersage morgen Donnerstag vierundzwanzigster Februar
train/23February_2011_Wednesday_tagesschau-148,wolken des tiefs bei island sorgen heute nacht im westen deutschlands für schnee gefrierenden regen und regen,Wolke tiefs Island sorgen heute Nacht Westen Deutschland Schnee gefrierend Regen Regen
train/23February_2011_Wednesday_tagesschau-149,morgen werden die niederschläge schwächer und ziehen noch etwa bis zur mitte,morgen niederschläge schwach ziehen noch etwa bis Mitte
train/23February_2011_Wednesday_tagesschau-150,der osten verbleibt unter hochdruckeinfluss,Osten verbleiben Hochdruckeinfluss
train/23February_2011_Wednesday_tagesschau-152,am tag im osten und ganz im südosten sonne sonst gebietsweise etwas schnee oder gefrierender regen im westlichen flachland regen,Tag Osten ganz Südosten Sonne sonst gebietsweise Schnee gefrierend Regen westlich flachland Regen
train/23February_2011_Wednesday_tagesschau-153,der wind weht in der südosthälfte schwach sonst schwach bis mäßig an der nord und ostsee frischer wind,Wind wehen Südosthälfte schwach sonst schwach mäßig Nord Ostsee frisch Wind
train/23February_2011_Wednesday_tagesschau-154,heute nacht minus fünfzehn grad im osten und plus zwei grad in köln,heute Nacht minus fünfzehn Grad Osten zwei Grad Köln
train/23February_2011_Wednesday_tagesschau-155,am tag bis minus vier grad im osten am niederrhein sieben grad,Tag minus vier Grad Osten Niederrhein sieben Grad
train/23February_2011_Wednesday_tagesschau-156,am freitag in der osthälfte sonne und wolken sonst regnet es vereinzelt etwas nur noch an den alpen etwas schnee,Freitag Osthälfte Sonne Wolken sonst regnen es vereinzelt etwas nur noch alpen Schnee
train/23February_2011_Wednesday_tagesschau-157,am samstag zieht ein regengebiet durch von nordwest nach südost im nordosten schneit es dabei teilweise,Samstag ziehen Regengebiet Nordwest Südost Nordosten schneien es dabei teilweise
train/23February_2011_Wednesday_tagesschau-158,am sonntag stellenweise etwas regen im höheren bergland schnee,Sonntag stellenweise Regen hoch bergland Schnee
train/28November_2011_Monday_tagesschau-159,und nun die wettervorhersage für morgen dienstag den neunundzwanzigsten november,nun Wettervorhersage morgen Dienstag neunundzwanzigster November
train/28November_2011_Monday_tagesschau-160,das zentrum des hochs verlagert sich langsam weiter richtung südosten,zentrum hochs verlagern sich langsam weiter Richtung Südosten
train/28November_2011_Monday_tagesschau-163,im süden und in der mitte gibt es stellenweise bereits nebelfelder die sich später weiter ausbreiten,Süden Mitte geben es stellenweise bereits nebelfelder der sich spät weiter ausbreiten
train/28November_2011_Monday_tagesschau-166,sonst häufig sonne in der nordwesthälfte aber auch einige dichte wolken,sonst häufig sonnen Nordwesthälfte aber auch dicht Wolke
train/28November_2011_Monday_tagesschau-167,der wind weht schwach bis mäßig in der nordwesthälfte auch frisch im nordwesten am abend stürmische böen,Wind wehen schwach mäßig Nordwesthälfte auch frisch Nordwesten Abend stürmisch böen
train/28November_2011_Monday_tagesschau-169,am tag null grad bei dauernebel und dreizehn grad im allgäu,Tag null Grad dauernebel dreizehn Grad allgäu
train/28November_2011_Monday_tagesschau-170,die aussichten am mittwoch teils sonne teils wolken oder nebel hier und da regnet es etwas,Aussicht Mittwoch teils Sonne teils Wolken Nebel hier da regnen es etwas
train/28November_2011_Monday_tagesschau-171,ab donnerstag breiten sich regenwolken allmählich weiter richtung südosten aus,Donnerstag breiten sich regenwolke allmählich weiter richtung Südosten
train/08May_2010_Saturday_tagesschau-174,und nun die wettervorhersage für morgen sonntag den neunten mai,nun Wettervorhersage morgen Sonntag neunter Mai
train/08May_2010_Saturday_tagesschau-177,da die luft auch warm ist steigen auch die temperaturen ein wenig,Luft auch warm steigen auch Temperature ein wenig
train/08May_2010_Saturday_tagesschau-178,im norden ist es heute noch zum teil stark bewölkt hier und da fällt etwas regen,Norden es heute noch Teil stark bewölkt hier da fallen Regen
train/08May_2010_Saturday_tagesschau-179,richtung süden erst noch ein paar schauer dann teils wolkig teils klar,richtung Süden erst noch Schauer dann teils wolkig teils klar
train/08May_2010_Saturday_tagesschau-180,örtlich bildet sich nebel,örtlich bilden sich Nebel
train/08May_2010_Saturday_tagesschau-181,am tag gibt es viele wolken zunächst im westen und südwesten gebietsweise regen später in der mitte und im süden schauer vor allem im osten und südosten auch gewitter,Tag geben es Wolke zunächst Westen Südwesten gebietsweise Regen spät Mitte Süden Schauer alle Osten Südosten auch Gewitter
train/08May_2010_Saturday_tagesschau-182,im norden bleibt es längere zeit trocken,Norden bleiben es lang Zeit trocken
train/08May_2010_Saturday_tagesschau-183,der wind weht meist schwach in schauer und gewitternähe keine kräftig auffrischen örtlich sind sturmböen möglich,Wind wehen meist schwach Schauer Gewitternähe kräftig auffrische örtlich Sturmbö möglich
train/08May_2010_Saturday_tagesschau-184,heute nacht neun bis drei grad bei längerem aufklaren nahe null grad,heute Nacht neun drei Grad lang aufklarer nahe null Grad
train/08May_2010_Saturday_tagesschau-185,an den küsten morgen kühle zehn grad im südosten deutlich wärmer bis einundzwanzig grad,Küste morgen kühle zehn Grad Südosten deutlich wärm einundzwanzig Grad
train/08May_2010_Saturday_tagesschau-186,dort wird es in der neuen woche noch etwas wärmer im norden bleibt es weiterhin kühl,dort es neu Woche noch wärm Norden bleiben es weiterhin kühl
train/08May_2010_Saturday_tagesschau-187,das ganze bei vielen wolken die regen zum teil noch kräftige schauer und gewitter bringen,ganz Wolke Regen Teil noch kräftig Schauer Gewitter bringen
train/08May_2010_Saturday_tagesschau-188,an diesem unbeständigen wetter ändert sich bis mittwoch wenig,unbeständig Wetter ändern sich Mittwoch wenig
train/23February_2010_Tuesday_tagesschau-189,und nun die wettervorhersage für morgen mittwoch den vierundzwanzigsten februar,nun Wettervorhersage morgen mittwoch vierundzwanzigster Februar
train/23February_2010_Tuesday_tagesschau-190,tiefer luftdruck bestimmt unser wetter,tief luftdruck bestimmen Wetter
train/23February_2010_Tuesday_tagesschau-191,auch an den küsten deutschlands setzt sich wieder unbeständiges wetter durch,auch Küste Deutschland setzen sich wieder unbeständig Wetter
train/23February_2010_Tuesday_tagesschau-192,dort im norden bleibt es noch relativ kalt sonst ist es recht mild,dort Norden bleiben es noch relativ kalt sonst es recht mild
train/23February_2010_Tuesday_tagesschau-193,auch in den kommenden tagen dauert das wechselhafte wetter an,auch kommend Tag dauern wechselhaft Wetter
train/23February_2010_Tuesday_tagesschau-194,im norden heute nacht lücken in der wolkendecke sonst regnet es hier und da vom emsland bis nach brandenburg teilweise schnee beziehungsweise gefrierender regen,Norden heute Nacht lücken Wolkendecke sonst regnen es hier da Emsland Brandenburg teilweise Schnee gefrierend Regen
train/23February_2010_Tuesday_tagesschau-196,der wind weht schwach bis mäßig an der see auch frisch,Wind wehen schwach mäßig See auch frisch
train/23February_2010_Tuesday_tagesschau-197,heute nacht acht grad am oberrhein minus sieben grad an der ostsee,heute Nacht acht Grad Oberrhein sieben Grad Ostsee
train/23February_2010_Tuesday_tagesschau-198,am tag dann vierzehn grad im breisgau und ein grad ganz im norden,Tag dann vierzehn Grad Breisgau Grad ganz Norden
train/23February_2010_Tuesday_tagesschau-199,die aussichten auch am donnerstag regnet es gebietsweise vor allem in der südosthälfte zeigt sich auch die sonne,Aussicht auch Donnerstag regnen es gebietsweise alle Südosthälfte zeigen sich auch Sonne
train/23February_2010_Tuesday_tagesschau-201,am freitag ist es meist stark bewölkt und es regnet zeitweise,Freitag es meist stark bewölkt es regnen zeitweise
train/23February_2010_Tuesday_tagesschau-202,am samstag schauer teilweise bis in tiefere lagen schnee,Samstag Schauer teilweise tief liegen Schnee
train/24September_2010_Friday_tagesschau-203,und nun die wettervorhersage für morgen samstag den fünfundzwanzigsten september,nun Wettervorhersage morgen Samstag fünfundzwanzigster September
